number of iterations required: 161
---utility for each state (row, column)---
(5, 43) - utility: 77.634
(5, 44) - utility: 76.061
(5, 45) - utility: 76.116
(5, 46) - utility: 73.753
(5, 49) - utility: 75.921
(5, 50) - utility: 73.499
(5, 52) - utility: 68.484
(5, 53) - utility: 67.854
(5, 54) - utility: 66.838
(5, 55) - utility: 65.820
(5, 56) - utility: 65.588
(5, 57) - utility: 66.601
(5, 58) - utility: 66.069
(5, 59) - utility: 68.362
(5, 60) - utility: 69.769
(5, 61) - utility: 71.245
(5, 62) - utility: 71.158
(5, 63) - utility: 72.132
(5, 64) - utility: 71.636
(5, 66) - utility: 74.161
(5, 68) - utility: 71.417
(5, 69) - utility: 70.364
(5, 70) - utility: 69.400
(5, 71) - utility: 71.044
(5, 72) - utility: 73.477
(5, 73) - utility: 73.668
(5, 74) - utility: 76.140
(5, 75) - utility: 74.669
(5, 76) - utility: 73.338
(5, 77) - utility: 72.171
(5, 78) - utility: 72.968
(5, 80) - utility: 71.093
(5, 81) - utility: 72.297
(5, 82) - utility: 74.731
(5, 83) - utility: 74.819
(5, 84) - utility: 74.243
(5, 85) - utility: 75.804
(5, 86) - utility: 73.341
(5, 87) - utility: 71.845
(5, 88) - utility: 72.676
(5, 90) - utility: 67.699
(5, 91) - utility: 67.071
(5, 92) - utility: 66.314
(5, 94) - utility: 68.601
(5, 96) - utility: 66.728
(5, 97) - utility: 68.123
(5, 98) - utility: 69.176
(5, 99) - utility: 70.102
(6, 0) - utility: 66.715
(6, 1) - utility: 68.008
(6, 2) - utility: 69.151
(6, 3) - utility: 67.884
(6, 4) - utility: 66.052
(6, 5) - utility: 68.358
(6, 6) - utility: 67.607
(6, 8) - utility: 72.610
(6, 9) - utility: 73.723
(6, 10) - utility: 74.953
(6, 11) - utility: 76.605
(6, 12) - utility: 78.060
(6, 13) - utility: 79.972
(6, 14) - utility: 79.972
(6, 16) - utility: 75.521
(6, 18) - utility: 76.343
(6, 20) - utility: 74.284
(6, 21) - utility: 73.012
(6, 22) - utility: 71.944
(6, 23) - utility: 73.095
(6, 24) - utility: 75.492
(6, 25) - utility: 74.229
(6, 27) - utility: 70.826
(6, 28) - utility: 71.942
(6, 29) - utility: 71.798
(6, 30) - utility: 70.677
(6, 31) - utility: 69.507
(6, 32) - utility: 68.366
(6, 33) - utility: 69.231
(6, 34) - utility: 70.407
(6, 35) - utility: 71.172
(6, 36) - utility: 69.953
(6, 37) - utility: 71.166
(6, 38) - utility: 72.470
(6, 39) - utility: 73.842
(6, 40) - utility: 75.036
(6, 41) - utility: 76.388
(6, 42) - utility: 77.649
(6, 43) - utility: 76.524
(6, 44) - utility: 74.485
(6, 46) - utility: 74.373
(6, 47) - utility: 73.153
(6, 48) - utility: 72.006
(6, 49) - utility: 73.215
(6, 50) - utility: 72.258
(6, 51) - utility: 71.062
(6, 52) - utility: 69.727
(6, 53) - utility: 68.460
(6, 54) - utility: 66.894
(6, 55) - utility: 66.039
(6, 56) - utility: 67.770
(6, 57) - utility: 67.931
(6, 59) - utility: 67.244
(6, 60) - utility: 67.397
(6, 62) - utility: 70.080
(6, 63) - utility: 70.852
(6, 65) - utility: 72.391
(6, 66) - utility: 73.880
(6, 67) - utility: 72.392
(6, 69) - utility: 69.029
(6, 70) - utility: 67.634
(6, 71) - utility: 69.624
(6, 73) - utility: 73.376
(6, 74) - utility: 74.510
(6, 75) - utility: 72.469
(6, 76) - utility: 72.181
(6, 77) - utility: 72.268
(6, 79) - utility: 69.844
(6, 80) - utility: 71.092
(6, 81) - utility: 72.313
(6, 82) - utility: 74.747
(6, 83) - utility: 76.138
(6, 84) - utility: 76.417
(6, 85) - utility: 76.243
(6, 87) - utility: 69.531
(6, 88) - utility: 70.074
(6, 89) - utility: 68.912
(6, 90) - utility: 68.925
(6, 91) - utility: 67.699
(6, 92) - utility: 67.272
(6, 93) - utility: 66.144
(6, 94) - utility: 67.183
(6, 95) - utility: 65.952
(6, 96) - utility: 64.587
(6, 99) - utility: 67.750
(7, 1) - utility: 68.157
(7, 3) - utility: 66.701
(7, 4) - utility: 66.400
(7, 5) - utility: 67.586
(7, 6) - utility: 68.670
(7, 8) - utility: 73.493
(7, 9) - utility: 73.687
(7, 10) - utility: 72.958
(7, 11) - utility: 75.132
(7, 12) - utility: 75.539
(7, 14) - utility: 79.972
(7, 16) - utility: 76.778
(7, 17) - utility: 75.644
(7, 18) - utility: 76.297
(7, 19) - utility: 75.046
(7, 20) - utility: 73.863
(7, 21) - utility: 72.733
(7, 23) - utility: 72.886
(7, 24) - utility: 74.096
(7, 25) - utility: 74.017
(7, 26) - utility: 71.602
(7, 27) - utility: 71.474
(7, 28) - utility: 70.699
(7, 29) - utility: 69.544
(7, 30) - utility: 69.501
(7, 32) - utility: 68.816
(7, 33) - utility: 68.151
(7, 35) - utility: 69.952
(7, 36) - utility: 69.679
(7, 37) - utility: 70.822
(7, 38) - utility: 71.892
(7, 39) - utility: 74.124
(7, 40) - utility: 75.399
(7, 42) - utility: 76.402
(7, 43) - utility: 76.519
(7, 44) - utility: 76.193
(7, 45) - utility: 74.805
(7, 49) - utility: 71.805
(7, 50) - utility: 70.175
(7, 51) - utility: 71.067
(7, 53) - utility: 68.237
(7, 54) - utility: 69.159
(7, 55) - utility: 68.058
(7, 56) - utility: 69.118
(7, 57) - utility: 70.318
(7, 58) - utility: 68.649
(7, 59) - utility: 68.360
(7, 60) - utility: 67.858
(7, 61) - utility: 69.004
(7, 62) - utility: 68.930
(7, 64) - utility: 68.808
(7, 65) - utility: 70.101
(7, 66) - utility: 72.165
(7, 67) - utility: 70.104
(7, 68) - utility: 68.831
(7, 69) - utility: 68.069
(7, 70) - utility: 68.817
(7, 71) - utility: 69.152
(7, 72) - utility: 71.354
(7, 73) - utility: 73.763
(7, 74) - utility: 73.101
(7, 75) - utility: 70.898
(7, 77) - utility: 69.822
(7, 78) - utility: 69.336
(7, 79) - utility: 69.246
(7, 80) - utility: 70.839
(7, 81) - utility: 72.194
(7, 82) - utility: 73.516
(7, 83) - utility: 74.748
(7, 85) - utility: 74.818
(7, 86) - utility: 73.316
(7, 87) - utility: 71.830
(7, 88) - utility: 72.662
(7, 90) - utility: 70.243
(7, 92) - utility: 68.502
(7, 94) - utility: 65.952
(7, 95) - utility: 65.045
(7, 96) - utility: 64.088
(7, 97) - utility: 63.949
(7, 98) - utility: 65.111
(7, 99) - utility: 66.458
(8, 1) - utility: 67.007
(8, 3) - utility: 65.569
(8, 5) - utility: 67.388
(8, 6) - utility: 68.592
(8, 7) - utility: 70.964
(8, 8) - utility: 72.169
(8, 9) - utility: 72.498
(8, 10) - utility: 73.068
(8, 11) - utility: 74.439
(8, 12) - utility: 75.740
(8, 13) - utility: 77.045
(8, 14) - utility: 78.478
(8, 15) - utility: 78.311
(8, 16) - utility: 76.879
(8, 17) - utility: 76.640
(8, 18) - utility: 76.489
(8, 21) - utility: 73.184
(8, 22) - utility: 71.828
(8, 23) - utility: 72.746
(8, 24) - utility: 71.780
(8, 25) - utility: 71.622
(8, 27) - utility: 70.200
(8, 28) - utility: 69.495
(8, 29) - utility: 68.600
(8, 30) - utility: 69.514
(8, 31) - utility: 69.473
(8, 32) - utility: 68.136
(8, 33) - utility: 67.030
(8, 34) - utility: 65.939
(8, 35) - utility: 68.470
(8, 37) - utility: 71.442
(8, 38) - utility: 72.788
(8, 39) - utility: 74.073
(8, 40) - utility: 75.246
(8, 41) - utility: 76.374
(8, 42) - utility: 76.335
(8, 43) - utility: 75.336
(8, 44) - utility: 74.857
(8, 45) - utility: 73.626
(8, 46) - utility: 72.406
(8, 47) - utility: 71.070
(8, 48) - utility: 69.891
(8, 49) - utility: 70.414
(8, 50) - utility: 69.314
(8, 51) - utility: 68.695
(8, 52) - utility: 68.123
(8, 53) - utility: 69.280
(8, 54) - utility: 69.269
(8, 55) - utility: 68.944
(8, 56) - utility: 70.222
(8, 57) - utility: 71.861
(8, 58) - utility: 70.852
(8, 59) - utility: 69.546
(8, 60) - utility: 68.322
(8, 61) - utility: 67.883
(8, 62) - utility: 67.652
(8, 63) - utility: 66.338
(8, 64) - utility: 67.718
(8, 65) - utility: 69.937
(8, 66) - utility: 69.713
(8, 67) - utility: 68.919
(8, 68) - utility: 67.913
