number of iterations required: 900
---utility for each state (row, column)---
(5, 61) - utility: 60.664
(5, 62) - utility: 58.941
(5, 63) - utility: 57.523
(5, 64) - utility: 56.549
(5, 66) - utility: 47.944
(5, 68) - utility: 39.801
(5, 69) - utility: 45.568
(5, 70) - utility: 50.149
(5, 71) - utility: 54.622
(5, 72) - utility: 65.606
(5, 73) - utility: 73.117
(5, 74) - utility: 82.613
(5, 75) - utility: 80.004
(5, 76) - utility: 76.029
(5, 77) - utility: 78.312
(5, 78) - utility: 80.299
(5, 80) - utility: 76.853
(5, 81) - utility: 70.275
(5, 82) - utility: 69.804
(5, 83) - utility: 65.385
(5, 84) - utility: 66.319
(5, 85) - utility: 67.844
(5, 86) - utility: 65.649
(5, 87) - utility: 63.964
(5, 88) - utility: 64.020
(5, 90) - utility: 63.709
(5, 91) - utility: 58.533
(5, 92) - utility: 57.925
(5, 94) - utility: 62.045
(5, 96) - utility: 65.237
(5, 97) - utility: 57.981
(5, 98) - utility: 56.987
(5, 99) - utility: 56.634
(6, 0) - utility: 33.416
(6, 1) - utility: 37.196
(6, 2) - utility: 33.313
(6, 3) - utility: 33.200
(6, 4) - utility: 31.444
(6, 5) - utility: 31.590
(6, 6) - utility: 31.413
(6, 8) - utility: 37.569
(6, 9) - utility: 37.500
(6, 10) - utility: 36.260
(6, 11) - utility: 36.793
(6, 12) - utility: 42.116
(6, 13) - utility: 49.384
(6, 14) - utility: 51.540
(6, 16) - utility: 54.902
(6, 18) - utility: 55.098
(6, 20) - utility: 56.871
(6, 21) - utility: 59.973
(6, 22) - utility: 58.959
(6, 23) - utility: 64.308
(6, 24) - utility: 66.158
(6, 25) - utility: 65.983
(6, 27) - utility: 64.775
(6, 28) - utility: 63.717
(6, 29) - utility: 63.432
(6, 30) - utility: 63.058
(6, 31) - utility: 62.485
(6, 32) - utility: 63.001
(6, 33) - utility: 62.001
(6, 34) - utility: 61.155
(6, 35) - utility: 60.986
(6, 36) - utility: 59.729
(6, 37) - utility: 58.503
(6, 38) - utility: 57.353
(6, 39) - utility: 56.392
(6, 40) - utility: 55.543
(6, 41) - utility: 50.967
(6, 42) - utility: 51.946
(6, 43) - utility: 51.718
(6, 44) - utility: 50.390
(6, 46) - utility: 88.551
(6, 47) - utility: 87.397
(6, 48) - utility: 86.257
(6, 49) - utility: 81.240
(6, 50) - utility: 77.876
(6, 51) - utility: 74.917
